Event Number,Over Number,Bowler Name,Batter Name,Run Outcome,Length of Ball,Line of Ball,Shot Type,Shot Placement,
29,44 6,Lalit Rajbanshi,Babar Azam,1,Off Stump,Sweep,Deep Square Leg,Deep Point,
29,44 5,Lalit Rajbanshi,Babar Azam,4,Good Length,Stumps,Slog Sweep,Long On,
29,44 4,Lalit Rajbanshi,Babar Azam,0,Stumps,Dab Push,Mid On,Deep Point,
29,44 1,Lalit Rajbanshi,Babar Azam,1,Good Length,Off Stump,Sweep,Long On,
29,44.1,Lalit Rajbanshi,Babar Azam,0,Off Stump,Slash Push,Mid On,Long On,
29,43.5,Lalit Rajbanshi,Babar Azam,4,Good Length,Stumps,Slog Sweep,Long On,
29,43.2,Lalit Rajbanshi,Babar Azam,0,Stumps,Dab Defense,Mid On,Deep Fine Leg,
28,43.1,Karan KC,Babar Azam,1,Back of Length,Stumps,Pull,Deep Mid Wicket,
28,42.5,Karan KC,Babar Azam,0,Off Stump,Slash Drive,Mid Off,Long On,
28,47 6,Karan KC,Babar Azam,4,Stumps,Drive,Deep Mid Wicket,Deep Point,
28,46 6,Karan KC,Babar Azam,0,Stumps,Dab Drive,Mid On,Deep Point,
28,46 5,Karan KC,Babar Azam,2,Good Length,Stumps,Drive,Long On,
28,46 3,Sandeep Lamichhane,Babar Azam,1,Good Length,Off Stump,Punch,Point,
20,46 2,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Drive,Deep Mid Wicket,Deep Point,
20,45 5,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Drive,Short Cover,
20,45 4,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Push,Slip,
19,45 3,Dipendra Singh Airee,Babar Azam,1,Drive,Off Stump,Cut,Deep Cover,
19,44 6,Dipendra Singh Airee,Babar Azam,1,Drive,Stumps,Sweep,Deep Square Leg,
19,44 5,Dipendra Singh Airee,Babar Azam,0,Defensive Shot,Cut,Deep Point,Deep Square Leg,
19,44 4,Dipendra Singh Airee,Babar Azam,0,Defensive Shot,Dab Push,Short Mid Wicket,Deep Square Leg,
18,44 1,Sandeep Lamichhane,Babar Azam,1,Push,Off Stump,Punch,Deep Cover,
18,44.1,Sandeep Lamichhane,Babar Azam,0,Defensive Shot,Stumps,Push,Third Man,
18,43.5,Sandeep Lamichhane,Babar Azam,0,Defensive Shot,Slash Drive,Short Cover,Slip,
18,43.2,Sandeep Lamichhane,Babar Azam,0,Defensive Shot,Off Stump,Sweep,Deep Fine Leg,
17,43.1,Dipendra Singh Airee,Babar Azam,1,Drive,Stumps,Sweep,Deep Fine Leg,
17,42.5,Dipendra Singh Airee,Babar Azam,0,Defensive Shot,Dab Defense,Mid On,Slip,
17,3,Dipendra Singh Airee,Babar Azam,0,Slash Defensive Shot,Off Stump,Sweep,Deep Square Leg,
17,2,Dipendra Singh Airee,Babar Azam,4,Punch,Cut,Deep Point,Slip,
17,1,Dipendra Singh Airee,Babar Azam,0,Punch,Dab Push,Short Mid Wicket,Slip,
16,5,Sandeep Lamichhane,Babar Azam,1,Drive,Off Stump,Punch,Deep Cover,
16,2,Sandeep Lamichhane,Babar Azam,1,Drive,Off Stump,Cut,Deep Point,
16,1,Sandeep Lamichhane,Babar Azam,0,Slash Push,Off Stump,Drive,Long Off,
15,6,Dipendra Singh Airee,Babar Azam,1,Drive,Stumps,Pull,Deep Mid Wicket,
