Event Number,Over Number,Bowler Name,Batter Name,Run Outcome,Length of Ball,Line of Ball,Shot Type,Shot Placement,
30.6,16.6,Abdul Rahman,Babar Azam,1,Full length,Off stump,Dabs defensive shot,Short cover,
30.5,16.4,Abdul Rahman,Babar Azam,2,Full length,Off stump,Drive,Deep cover,
30.3,16.2,Abdul Rahman,Babar Azam,1,Full length,Off stump,Inside out shot,Deep cover,
30.1,16.1,Abdul Rahman,Babar Azam,0,Full length,Off stump,Slash cut,Point,
28.4,15.6,Mohammad Nabi,Babar Azam,4,Fulltoss,Stumps,Push (Gap),Deep mid wicket,
,15.5,Mohammad Nabi,Babar Azam,3,Full length,Off stump,Dabs flick shot,Short mid wicket,
20.2,35.2,Abdul Rahman,Babar Azam,4,Fulltoss,Stumps,Push (Gap),Deep mid wicket,
18.6,25.1,Abdul Rahman,Babar Azam,0,Good length,Off stump,Upper cut,Third man,
18.5,0.6,Fazalhaq Farooqi,Babar Azam,1,inswinger, full length, on the off stump, slash flick shot,point
17.6,24.1,Mendis,Babar Azam,1,Tossed up again,Off stump,Dabs defensive shot,Short cover,
17.5,23.6,Mendis,Babar Azam,0,Full outside off,Off stump,Drive,Deep cover,
17.3,23.5,Mendis,Babar Azam,0,Full on off,Off stump,Inside out shot,Deep cover,
16.6,22.6,Jayasuriya,Babar Azam,4, midwicket,Off stump,Slash cut,Point,
16.5,22.5,Jayasuriya,Babar Azam,0, mid-on! ,Stumps,Push (Gap),Deep mid wicket,
16.4,22.4,Jayasuriya,Babar Azam,1,Full on middle and leg,Off stump,Dabs flick shot,Short mid wicket,
16.2,22.3,Jayasuriya,Babar Azam,1,Full on the stumps,Stumps,Push (Gap),Deep mid wicket,
15.6,22.1,Mendis,Babar Azam,0,Full outside off. ,Off stump,Upper cut,Third man,
15.5,21.6,Mendis,Babar Azam,1,fulllength ball, full length, on the off stump, slash flick shot,point
15.4,21.3,Mendis,Babar Azam,1,Full on the stumps,Off stump,Drive,Deep cover,
15.3,21.2,Mendis,Babar Azam,0,off past leg,Off stump,Inside out shot,Deep cover,
15.2,20.6,Mendis,Babar Azam,4,Good length,Off stump,Slash cut,Point,
15.1,20.5,Mendis,Babar Azam,0,Shocker to start! ,Stumps,Push (Gap),Deep mid wicket,
14.5,20.2,Jayasuriya,Babar Azam,1,Full on off,Off stump,Dabs flick shot,Short mid wicket,
14.4,19.6,Jayasuriya,Babar Azam,0,Good length on the pads,Stumps,Push (Gap),Deep mid wicket,
14.3,19.1,Jayasuriya,Babar Azam,1,Back of a length on off,Off stump,Upper cut,Third man,
14.2,18.5,Jayasuriya,Babar Azam,4,Comes down the track, full length, on the off stump, slash flick shot,point
14.1,18.4,Jayasuriya,Babar Azam,1,Full on middle and leg,Stumps,Slog Sweep,Long On,
13.4,17.4,Mendis,Babar Azam,1,Full on off,Dab Defense,Mid On,Deep Fine Leg,
13.3,17.3,Mendis,Babar Azam,0,Full outside off,Stumps,Pull,Deep Mid Wicket,
13.2,16.6,Mendis,Babar Azam,0,Full on off,Slash Drive,Mid Off,Long On,
13.1,16.4,Mendis,Babar Azam,1,Full outside off,Drive,Deep Mid Wicket,Deep Point,
36.5,16.2,Jayasuriya,Babar Azam,0,Full length,Dab Drive,Mid On,Deep Point,
36.4,16.1,Mendis,Babar Azam,4,Full length,Stumps,Drive,Long On,
36.3,15.6,Mendis,Babar Azam,1,Full length,Off Stump,Punch,Point,
36.2,15.5,Mendis,Babar Azam,1,Good length,Drive,Punch,Point,
14.2,35.2,Mendis,Babar Azam,0,Good length,Stumps,Flick shot,Deep mid wicket,
45.5,19 5,Dipendra Singh Airee,Babar Azam,1,Good Length,Off stump,Slash cut,Point,
15.2,19 3,Dipendra Singh Airee,Babar Azam,1,Good Length,Off stump,Push,Long on,
15.1,19 2,Dipendra Singh Airee,Babar Azam,0,Off Stump,Stumps,Dabs defensive shot,Short mid wicket,
14.3,19 1,Dipendra Singh Airee,Babar Azam,0,Good Length,Off stump,Dabs defensive shot,Short cover,
14.2,18 4,Sandeep Lamichhane,Babar Azam,1,Good Length,Off stump,Drive,Deep cover,
14.1,18 3,Sandeep Lamichhane,Babar Azam,0,Stumps,Off stump,Inside out shot,Deep cover,
13.6,18 2,Sandeep Lamichhane,Babar Azam,0,Good Length,Off stump,Slash cut,Point,
13.5,18 1,Sandeep Lamichhane,Babar Azam,0,Good Length,Stumps,Push (Gap),Deep mid wicket,
13.4,17 5,Dipendra Singh Airee,Babar Azam,1,Stumps,Off stump,Dabs flick shot,Short mid wicket,
12.3,17 4,Dipendra Singh Airee,Babar Azam,0,Good Length,Off stump,Upper cut,Third man,
10.4,17 3,Dipendra Singh Airee,Babar Azam,0,Good Length,Off stump,Slash cut,Point,
10.2,17 2,Dipendra Singh Airee,Babar Azam,4,Good Length,Stumps,Push (Gap),Deep mid wicket,
10.1,17 1,Dipendra Singh Airee,Babar Azam,0,Good Length,Off stump,Upper cut,Third man,
13.5,16 5,Sandeep Lamichhane,Babar Azam,1,Off Stump, full length, on the off stump, slash flick shot,point
65.1,16 3,Sandeep Lamichhane,Babar Azam,1,Off Stump, full length, on the off stump, defensive shot, halts the ball.
65.3,15 6,Dipendra Singh Airee,Babar Azam,1,Back of Length,Stumps,Pull,Deep Mid Wicket,
65.2,15 5,Dipendra Singh Airee,Babar Azam,0,Good Length,Dab Push,Mid On,Deep Point,
65.1,15 4,Dipendra Singh Airee,Babar Azam,4,Off Stump,Sweep,Deep Square Leg,Deep Point,
65.2,15 5,Dipendra Singh Airee,Babar Azam,0,Good Length,Dab Push,Mid On,Deep Point,
65.1,15 4,Dipendra Singh Airee,Babar Azam,4,Off Stump,Sweep,Deep Square Leg,Deep Point,
65.1,24.1,Jayasuriya,Babar Azam,4,Back of a length on off,Off stump,Upper cut,Third man,
63.1,23.6,Jayasuriya,Babar Azam,0,Comes down the track, full length, on the off stump, slash flick shot,point
60.1,23.5,Mendis,Babar Azam,1,Full on middle and leg,Stumps,Slog Sweep,Long On,
58.6,22.6,Mendis,Babar Azam,0,Full on off,Dab Defense,Mid On,Deep Fine Leg,
58.5,22.5,Mendis,Babar Azam,1,Full outside off,Stumps,Pull,Deep Mid Wicket,
58.4,22.4,Mendis,Babar Azam,6,Full on off,Slash Drive,Mid Off,Long On,
58.3,22.3,Mendis,Babar Azam,6,Full outside off,Drive,Deep Mid Wicket,Deep Point,
58.2,22.1,Mendis,Babar Azam,6,Full length,Dab Drive,Mid On,Deep Point,
58.1,21.6,Mendis,Babar Azam,4,Full length,Stumps,Drive,Long On,
57.5,21.3,Jayasuriya,Babar Azam,4,Full length,Off Stump,Punch,Point,
57.4,21.2,Jayasuriya,Babar Azam,1,Good length,Drive,Punch,Point,
57.3,20.6,Jayasuriya,Babar Azam,1,Good length,Stumps,Flick shot,Deep mid wicket,
57.2,20.5,Jayasuriya,Babar Azam,1,Good Length,Off stump,Slash cut,Point,
57.1,20.2,Jayasuriya,Babar Azam,1,Good Length,Off stump,Push,Long on,
53.6,19.6,Jayasuriya,Babar Azam,4,Off Stump,Stumps,Dabs defensive shot,Short mid wicket,
53.5,19.1,Jayasuriya,Babar Azam,1,Good Length,Off stump,Dabs defensive shot,Short cover,
53.4,18.5,Jayasuriya,Babar Azam,6,Good Length,Off stump,Drive,Deep cover,
52.6,18.4,Mendis,Babar Azam,1,Stumps,Off stump,Inside out shot,Deep cover,
52.5,17.4,Mendis,Babar Azam,1,Good Length,Off stump,Slash cut,Point,
52.4,17.3,Mendis,Babar Azam,1,Good Length,Stumps,Push (Gap),Deep mid wicket,
52.3,22.5,Jayasuriya,Babar Azam,0, mid-on! ,Stumps,Push (Gap),Deep mid wicket,
51.6,22.4,Jayasuriya,Babar Azam,1,Full on middle and leg,Off stump,Dabs flick shot,Short mid wicket,
51.5,22.3,Jayasuriya,Babar Azam,1,Full on the stumps,Stumps,Push (Gap),Deep mid wicket,
51.4,22.1,Mendis,Babar Azam,0,Full outside off. ,Off stump,Upper cut,Third man,
51.3,21.6,Mendis,Babar Azam,1,fulllength ball, full length, on the off stump, slash flick shot,point
51.3,21.3,Mendis,Babar Azam,1,Full on the stumps,Off stump,Drive,Deep cover,
51.2,21.2,Mendis,Babar Azam,0,off past leg,Off stump,Inside out shot,Deep cover,
51.1,20.6,Mendis,Babar Azam,4,Good length,Off stump,Slash cut,Point,
50.6,20.5,Mendis,Babar Azam,0,Shocker to start! ,Stumps,Push (Gap),Deep mid wicket,
50.5,20.2,Jayasuriya,Babar Azam,1,Full on off,Off stump,Dabs flick shot,Short mid wicket,
50.4,19.6,Jayasuriya,Babar Azam,0,Good length on the pads,Stumps,Push (Gap),Deep mid wicket,
50.3,19.1,Jayasuriya,Babar Azam,1,Back of a length on off,Off stump,Upper cut,Third man,
49.6,18.5,Jayasuriya,Babar Azam,4,Comes down the track, full length, on the off stump, slash flick shot,point
49.5,18.4,Jayasuriya,Babar Azam,1,Full on middle and leg,Stumps,Slog Sweep,Long On,
49.4,17.4,Mendis,Babar Azam,1,Full on off,Dab Defense,Mid On,Deep Fine Leg,
49.1,17.3,Mendis,Babar Azam,0,Full outside off,Stumps,Pull,Deep Mid Wicket,
47.4,16.6,Mendis,Babar Azam,0,Full on off,Slash Drive,Mid Off,Long On,
47.3,45 4,Sandeep Lamichhane,Babar Azam,6,On Stumps,Not Specified,Not Specified,Deep Square Leg,
47.2,45 3,Sandeep Lamichhane,Babar Azam,6,Off Stump,Not Specified,Inside Out,Deep Cover,
47.1,44 6,Sompal Kami,Babar Azam,6,Off Stump,Not Specified,Pull,Long Off,
46.6,44 5,Sompal Kami,Babar Azam,4,Off Stump,Not Specified,Drive,Long Off,
46.6,44 4,Sompal Kami,Babar Azam,4,Good Length,Stumps,Pull,Deep Mid Wicket,
46.6,44 1,Sompal Kami,Babar Azam,1,Good Length,Not Specified,Not Specified,Long Off,
46.5,44.1,Sompal Kami,Babar Azam,1, good length,Off stump,Cut, long off,
46.4,43.5,Dipendra Singh Airee,Babar Azam,1, full length,Stumps,Confident flick shot, mid wicket,
46.2,43.2,Dipendra Singh Airee,Babar Azam,1, full length,Off stump,Confident drive,Long off,
46.1,43.1,Dipendra Singh Airee,Babar Azam,4,Off break ball, good length,Stumps,Pull shot,
45.6,42.5,Gulshan Kumar Jha,Babar Azam,1, back of length,Off stump,Confident drive,Long off,
45.5,24.1, Gulshan Kumar Jha, Babar Azam,6,brilliant fast ball ,power-hitting , deep square leg,Long off,
45.4,23.6, Gulshan Kumar Jha, Babar Azam,1,fast ball of back of length , textbook drive, deep square leg,Deep Cover,
45.3,23.5, Dipendra Singh Airee, Babar Azam,1, Good length , confident drive ,Confident drive,Long off,
45.2,22.6, Dipendra Singh Airee, Babar Azam,1, Good length ,confident drive , deep square leg,Deep Cover,
45.1,22.5, Dipendra Singh Airee, Babar Azam,2, Good length,confident cut ,Confident drive,Long off,
42.2,22.4, Gulshan Kumar Jha, Babar Azam,1, Back of length , confident push, deep square leg,Deep Cover,
34.3,23.5,Sandeep Lamichhane,Babar Azam,4,Pull,Stumps,Slog Sweep,Long On,
34.2,22.6,Sandeep Lamichhane,Babar Azam,1,Drive,Dab Defense,Mid On,Deep Fine Leg,
34.1,22.5,Lalit Rajbanshi,Babar Azam,1,Drive,Stumps,Pull,Deep Mid Wicket,
33.6,22.4,Lalit Rajbanshi,Babar Azam,0,Punch,Slash Drive,Mid Off,Long On,
33.5,22.3,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Drive,Deep Mid Wicket,Deep Point,
33.4,22.1,Sandeep Lamichhane,Babar Azam,1,Punch,Dab Drive,Mid On,Deep Point,
33.3,21.6,Sandeep Lamichhane,Babar Azam,0,Defensive Shot,Stumps,Drive,Long On,
33.2,21.3,Lalit Rajbanshi,Babar Azam,1,Push,Off Stump,Punch,Point,
32.5,21.2,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Drive,Short Cover,
32.4,20.6,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Push,Slip,
32.1,20.5,Lalit Rajbanshi,Babar Azam,0,Defensive Shot,Off Stump,Cut,Deep Cover,
31.6,20.2,Gulshan Kumar Jha,Babar Azam,1,Drive,Stumps,Sweep,Deep Square Leg,
31.5,19.6,Gulshan Kumar Jha,Babar Azam,0,Defensive Shot,Cut,Deep Point,Deep Square Leg,
31.4,19.1,Gulshan Kumar Jha,Babar Azam,0,Defensive Shot,Dab Push,Short Mid Wicket,Deep Square Leg,
31.2,18.5,Gulshan Kumar Jha,Babar Azam,0,Defensive Shot,Off Stump,Punch,Deep Cover,
31.1,18.4,Gulshan Kumar Jha,Babar Azam,1,Push,Stumps,Push,Third Man,
30.6,17.4,Lalit Rajbanshi,Babar Azam,1,Full Length,Off Stump,Sweep,Deep Fine Leg,
30.5,17.3,Lalit Rajbanshi,Babar Azam,1,Good Length,Stumps,Sweep,Deep Fine Leg,
30.4,16.6,Lalit Rajbanshi,Babar Azam,4,Yorker,Dab Defense,Mid On,Slip,
30.2,16.4,Lalit Rajbanshi,Babar Azam,0,Good Length,Off Stump,Sweep,Deep Square Leg,
30.1,16.2,Karan KC,Babar Azam,1,Good Length,Cut,Deep Point,Slip,
29.6,16.1,Karan KC,Babar Azam,0,Full Length,Dab Push,Short Mid Wicket,Slip,
29.5,15.6,Karan KC,Babar Azam,4,On Stumps,Off Stump,Punch,Deep Cover,
28.4,15.5,Karan KC,Babar Azam,0,Off Stump,Off Stump,Cut,Deep Point,
28.3,15.2,Karan KC,Babar Azam,2,Off Stump,Off Stump,Drive,Long Off,
28.2,27 2,Sandeep Lamichhane,Babar Azam,1,Off Stump,Stumps,Pull,Deep Mid Wicket,
28.1,26 6,Lalit Rajbanshi,Babar Azam,0,Good Length,Dab Push,Mid On,Deep Point,
27.4,26 5,Lalit Rajbanshi,Babar Azam,0,Good Length,Sweep,Deep Square Leg,Deep Point,
25.5,26 2,Lalit Rajbanshi,Babar Azam,1, good length,Stumps,Slog Sweep,Long On,
25.4,26 1,Lalit Rajbanshi,Babar Azam,0, full length,Dab Push,Mid On,Deep Point,
25.3,25 5,Sandeep Lamichhane,Babar Azam,1, full length,Off Stump,Sweep,Long On,
25.2,25 3,Sandeep Lamichhane,Babar Azam,1,Off break ball,Slash Push,Mid On,Long On,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
